"soilseriesname","errorkind","context","mlraoffice"
"LEIPSIC","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-silty, mixed, semiactive, mesic Aquic Hapludults]","raleigh, nc"
"LEIPSIC","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","raleigh, nc"
"MANOKIN","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-loamy, mixed, active, mesic Aquic Hapludults]","raleigh, nc"
"MANOKIN","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","raleigh, nc"
"MIMMS","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine, kaolinitic, acid, thermic Fluvaquentic Endoaquepts]","raleigh, nc"
"MISPILLION","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Loamy, mixed, euic, mesic Terric Sulfihemists]","raleigh, nc"
"MISPILLION","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","raleigh, nc"
"QUAKERBRIDGE","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Mesic, coated Spodic Quartzipsamments]","raleigh, nc"
"QUEPONCO","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-loamy, mixed, semiactive, mesic Typic Hapludults]","raleigh, nc"
"QUEPONCO","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","raleigh, nc"
"QUINDOCQUA","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-loamy, mixed, active, mesic Typic Endoaquults]","raleigh, nc"
"QUINDOCQUA","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","raleigh, nc"
"TENT","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-silty, mixed, active, mesic Typic Endoaquults]","raleigh, nc"
"TILLERY","DUPLICATE STANDARD SECTIONS","[ADDITIONAL DATA]","raleigh, nc"
"TIZZARD","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Sandy over loamy, aniso, siliceous, subactive, nonacid, mesic Sulfic Fluvaquents]","raleigh, nc"
"TIZZARD","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","raleigh, nc"
"TRUSSUM","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine, mixed, active, mesic Typic Paleaquults]","raleigh, nc"
"TRUSSUM","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","raleigh, nc"
"WIDEWATER","DUPLICATE STANDARD SECTIONS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE]","raleigh, nc"
"WIST","DUPLICATE STANDARD SECTIONS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE]","raleigh, nc"
"WOODMANSIE","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Coarse-loamy, siliceous, semiactive, mesic Typic Hapludults]","raleigh, nc"
"WOODMANSIE","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","raleigh, nc"
"WOODSTOWN","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-loamy, mixed, active, mesic Aquic Hapludults]","raleigh, nc"
"WOODSTOWN","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","raleigh, nc"
"ZEKIAH","DUPLICATE STANDARD SECTIONS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE]","raleigh, nc"
