"soilseriesname","errorkind","context","mlraoffice"
"IMMOKALEE","DUPLICATION OF HEADERS","[Hue: 7.5 YR or 10YR]","auburn, al"
"LAUDERHILL","DUPLICATION OF HEADERS","[Hue: 5YR, 7.5 YR, 10 YR and 2.5Y]","auburn, al"
"SCRANTON","DUPLICATION OF HEADERS","[SC0075  0-18    4.5- 6.5  1.-4.   0-0    6.0- 20    LOW]","auburn, al"
