"soilseriesname","errorkind","context","mlraoffice"
"ROUND BUTTE","DUPLICATION OF HEADERS","[SAR:  13 to 60]","bozeman, mt"
"SAGECREEK","DUPLICATION OF HEADERS","[ESP:  0 to 15]","bozeman, mt"
"SAPEHA","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"SASKA","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"SAWATCH","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"SAYPO","DUPLICATION OF HEADERS","[SAR:  0 to 13]","bozeman, mt"
"SCHOOLHOUSE","MULTILINE TYPICAL PEDON","[number of multilines=3]","bozeman, mt"
"SCRABBLERS","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"SEBREE","MULTILINE TYPICAL PEDON","[number of multilines=6]","bozeman, mt"
"SELOW","DUPLICATION OF HEADERS","[SAR:  13 to 40]","bozeman, mt"
"SHANGLAND","MULTILINE TYPICAL PEDON","[number of multilines=3]","bozeman, mt"
"SHINEBERGER","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"SIMCOE","SECTION HEADINGS",NA,"bozeman, mt"
"SINKER","MULTILINE TYPICAL PEDON","[number of multilines=4]","bozeman, mt"
"SKALAN","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"SKYKOMISH","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"SLIGTING","MULTILINE TYPICAL PEDON","[number of multilines=3]","bozeman, mt"
"SMELTER","MULTILINE TYPICAL PEDON","[number of multilines=4]","bozeman, mt"
"SNAKE","SECTION HEADINGS",NA,"bozeman, mt"
"SNAKER","MULTILINE TYPICAL PEDON","[number of multilines=3]","bozeman, mt"
"SNELLBY","MULTILINE TYPICAL PEDON","[number of multilines=4]","bozeman, mt"
"SODACREEK","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"SPHINX","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"STAKE","MULTILINE TYPICAL PEDON","[number of multilines=7]","bozeman, mt"
"STANFLOW","MULTILINE TYPICAL PEDON","[number of multilines=6]","bozeman, mt"
"STANROD","MULTILINE TYPICAL PEDON","[number of multilines=7]","bozeman, mt"
"STAPLETON","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"STOVEPIPE","MULTILINE TYPICAL PEDON","[number of multilines=4]","bozeman, mt"
"STREVELL","MULTILINE TYPICAL PEDON","[number of multilines=7]","bozeman, mt"
"SUBWELL","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"SUMPLEY","MULTILINE TYPICAL PEDON","[number of multilines=4]","bozeman, mt"
"SWEETWEED","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"TATERPA","MULTILINE TYPICAL PEDON","[number of multilines=6]","bozeman, mt"
"TENEX","SECTION HEADINGS",NA,"bozeman, mt"
"TENMILE","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"TENORIO","SECTION HEADINGS",NA,"bozeman, mt"
"TEW","SECTION HEADINGS",NA,"bozeman, mt"
"TEX","MULTILINE TYPICAL PEDON","[number of multilines=2]","bozeman, mt"
"TINE","DUPLICATE STANDARD SECTIONS","[USE AND VEGETATION]","bozeman, mt"
"TINE","MULTILINE TYPICAL PEDON","[number of multilines=2]","bozeman, mt"
"TOSTON","DUPLICATION OF HEADERS","[SAR:  13 to 30]","bozeman, mt"
"TOUTLE","MULTILINE TYPICAL PEDON","[number of multilines=2]","bozeman, mt"
"TRACYLEE","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"TRAPPER","SECTION HEADINGS",NA,"bozeman, mt"
"TROUT CREEK","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"TRUESDALE","MULTILINE TYPICAL PEDON","[number of multilines=3]","bozeman, mt"
"TUGGLE","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"TUSCOR","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"VABEM","DUPLICATION OF HEADERS","[ESP:  0 to 15 percent]","bozeman, mt"
"VANDA","DUPLICATION OF HEADERS","[SAR:  13 to 30]","bozeman, mt"
"VANDERHOFF","MULTILINE TYPICAL PEDON","[number of multilines=3]","bozeman, mt"
"VANZANDT","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"VASQUEZ","DUPLICATION OF HEADERS","[DRAINAGE AND PERMEABILITY:  Poorly drained; very slow runoff or ponded; moderate permeability.  These soils have a fluctuating high water table.]","bozeman, mt"
"VASQUEZ","DUPLICATE STANDARD SECTIONS","[DRAINAGE AND PERMEABILITY,USE AND VEGETATION]","bozeman, mt"
"VASQUEZ","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"VINCOM","DUPLICATION OF HEADERS","[SAR:  0 to 20]","bozeman, mt"
"VOLINGER","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"WAHTIGUP","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"WALTHAM","DUPLICATION OF HEADERS","[SAR:  4 to 20]","bozeman, mt"
"WAMBA","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"WATERBURY","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"WEBER","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"WEINGART","DUPLICATION OF HEADERS","[SAR:  13 to 30]","bozeman, mt"
"WELCOME","MULTILINE TYPICAL PEDON","[number of multilines=7]","bozeman, mt"
"WHITEARTH","DUPLICATION OF HEADERS","[SAR:  20 to 60]","bozeman, mt"
