"soilseriesname","errorkind","context","mlraoffice"
"BUHLER","DUPLICATION OF HEADERS","[SAR: 5 to 10]","st. paul, mn"
"JANKOSH","DUPLICATION OF HEADERS","[SAR: 0 to 9,SAR: 13 to 30]","st. paul, mn"
"KISIWA","DUPLICATION OF HEADERS","[SAR: 2 to 4]","st. paul, mn"
"MOTTLAND","SECTION HEADINGS",NA,"st. paul, mn"
"NINNESCAH","DUPLICATION OF HEADERS","[SAR: 0 to 1]","st. paul, mn"
"VARNA","SECTION HEADINGS",NA,"st. paul, mn"
"WABEDO","DUPLICATION OF HEADERS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE: St. Paul, Minnesota]","st. paul, mn"
"WABEDO","DUPLICATE STANDARD SECTIONS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE]","st. paul, mn"
