"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"HYDABURG","Oi1",1,0,NA,NA,NA,NA,NA,NA
"ISIDOR","Oe",23,0,NA,NA,NA,"5YR","2.5","1"
"ISMAILOF","Oa",5,0,NA,NA,NA,"10YR","2","1"
"ISMAILOF","Oi",8,5,NA,NA,NA,NA,NA,NA
"JAKOLOF","Oe",5,0,NA,NA,NA,NA,NA,NA
"JIM","Oe",3,0,NA,NA,NA,"5YR","2","2"
"KALAMBACH","Oi",5,0,NA,NA,NA,"10YR","2","2"
"KALSIN","Oi",3,0,NA,NA,NA,"10YR","3","3"
"KANDIK","O1",5,0,NA,NA,NA,"5YR","3","1"
"KARTA","Oa",8,0,NA,NA,NA,"5YR","2.5","1"
"KARTA","Oe",20,8,NA,NA,NA,"5YR","2.5","2"
"KARTA","Oi",25,20,NA,NA,NA,NA,NA,NA
"KASIANA","Oa",20,0,NA,NA,NA,"10YR","2","1"
"KEBA","Oi",3,0,NA,NA,NA,"2.5YR","3","2"
"KELSALL","Oe",13,0,NA,NA,NA,NA,NA,NA
"KENNY LAKE","Oi",8,0,NA,NA,NA,NA,NA,NA
"KIOKLUK","Oe",5,0,NA,NA,NA,NA,NA,NA
"KLANELNEECHENA","Oe2",10,0,NA,NA,NA,"2.5YR","2.5","2"
"KLANELNEECHENA","Oe1",23,10,NA,NA,NA,"10YR","2","1"
"KLANELNEECHENA","Oi",30,23,NA,NA,NA,"10YR","2","1"
"KLAWASI","Oe",10,0,NA,NA,NA,"5YR","2.5","1"
"KLAWASI","Oi",23,10,NA,NA,NA,"5YR","3","2"
"KLISKON","Oe",8,0,NA,NA,NA,NA,NA,NA
"KLUNA","Oi",5,0,NA,NA,NA,"7.5YR","3","4"
"KLUTINA","Oi",3,0,NA,NA,NA,"5YR","3","2"
"KNIK","Oi",5,0,NA,NA,NA,"10YR","2","2"
"KROTO","Oe",8,0,NA,NA,NA,NA,NA,NA
"KRUBATE","Oi",3,0,NA,NA,NA,NA,NA,NA
"KUNAYOSH","O12",3,0,NA,NA,NA,"5YR","2","1"
"KUNAYOSH","O11",6,3,NA,NA,NA,NA,NA,NA
"KUPREANOF","Oe",5,0,NA,NA,NA,NA,NA,NA
"KUSDRY","Oe",5,0,NA,NA,NA,"7.5YR","3","2"
"KUSDRY","Oi",8,5,NA,NA,NA,"7.5YR","3","2"
"KUSLINA","Oe",8,0,NA,NA,NA,"10YR","2","2"
"KUSLINA","Oi",25,8,NA,NA,NA,"7.5YR","4","2"
"KUSLINAD","Oe",10,0,NA,NA,NA,"5YR","2.5","2"
