"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"SNOWVILLE","Al",0,8,"10YR","5","2","10YR","3","2"
"ST. MARYS","All",0,23,"7.5YR","4","3","7.5YR","3","2"
"STODA","Clca",48,74,"7.5YR","7","4","7.5YR","5","4"
"TACAN","Al",0,20,"2.5YR","4","4","2.5YR","3","4"
"TACAN","Cl",66,122,"2.5YR","5","6","2.5YR","3","6"
"TINGEY","All",0,10,"10YR","4","3","10YR","3","2"
"TINGEY","Bl",23,36,"10YR","5","3","10YR","3","3"
"TINGEY","Clca",104,135,"10YR","6","4","10YR","4","4"
"TOBISH","Al",0,3,"7.5YR","5","4","7.5YR","4","3"
"TOBISH","Blt",3,13,"7.5YR","4","4","7.5YR","4","4"
"TOBLER","Al",0,10,"2.5YR","4","6","2.5YR","3","6"
"TODDLER","Al",0,13,"10YR","8","3","10YR","6","3"
"TODDLER","Cl",13,33,"10YR","8","3","10YR","6","3"
"TOZE","Al",0,3,"10YR","3","2","10YR","2","2"
"WAAS","Al",0,8,"5YR","4","3","5YR","3","2"
"WINDMILL","Al",0,10,"10YR","4","2","10YR","3","2"
"WINDMILL","Cl",43,58,"10YR","6","3","10YR","4","3"
"WOODPASS","All",0,10,"7.5YR","5","4","10YR","3","4"
"YARDLEY","All",0,25,"10YR","4","2","10YR","2","2"
"YELJACK","All",0,15,"5YR","4","4","5YR","3","3"
"ZANE","Bl",3,8,NA,NA,NA,"5YR","5","4"
"ZEESIX","All",0,5,"10YR","3","1","10YR","2","1"
"ZEESIX","Clca",79,119,"10YR","6","3","10YR","5","4"
"ZEGRO","Al",0,20,"5YR","6","4","5YR","4","4"
